name,description,pulls,tags,updated,capabilities,size_variants,url,parameter_sizes,context_window,model_type,license_info,base_model,performance_benchmarks,hardware_requirements,specialty_domain,release_info,quantization_support
sqlcoder,SQLCoder is a code completion model fined-tuned on StarCoder for SQL generation tasks,112.1K,48,1 year ago,,,https://ollama.com/library/sqlcoder,15b; 15B,32K; 8K,Vision; Code; Math,cc,your; your,N/A,4.1GB; 9.0GB; 16GB,coding; math; reasoning; translation,N/A,No
llama3-chatqa,A model from NVIDIA based on Llama 3 that excels at conversational question answering (QA) and retrieval-augmented generation (RAG).,109.8K,35,1 year ago,,,https://ollama.com/library/llama3-chatqa,70b,8K,Vision; Math; Chat,N/A,Llama; Llama,N/A,4.7GB; 40GB,math; chat; vision; embedding,N/A,No
reflection,A high-performing model trained with a new technique called Reflection-tuning that teaches a LLM to detect mistakes in its reasoning and correct course.,107K,17,10 months ago,,,https://ollama.com/library/reflection,70b,128K,Vision; Reasoning; Text,N/A,N/A,N/A,40GB,reasoning; vision,N/A,No
wizard-math,Model focused on math and logic problems,106.7K,64,1 year ago,,,https://ollama.com/library/wizard-math,70b; 70B,32K; 2K; 4K,Vision; Math; Reasoning,N/A,,math:106.8; math:7; math:7; math:13; math:13; math:70; math:70; Math:7,4.1GB; 7.4GB; 39GB,math; reasoning; vision,1.0; 1.1,No
llava-phi3,A new small LLaVA model fine-tuned from Phi 3 Mini.,105.2K,4,1 year ago,vision,,https://ollama.com/library/llava-phi3,3.8b,4K,Vision; Text,N/A,,N/A,2.9GB,vision,N/A,No
granite3.1-dense,"The IBM Granite 2B and 8B models are text-only dense LLMs trained on over 12 trillion tokens of data, demonstrated significant improvements over their predecessors in performance and speed in IBM’s initial testing.",104.5K,33,5 months ago,tools,,https://ollama.com/library/granite3.1-dense,8b; 3B; 8B,128K,Vision; Code; Text,apache; Apache 2.0,over; over,N/A,5.0GB; 1.6GB,coding; scientific; translation; summarization,N/A,No
llama3-gradient,This model extends LLama-3 8B's context length from 8k to over 1m tokens.,104.1K,35,1 year ago,,,https://ollama.com/library/llama3-gradient,70b,256K; 8K,Vision; Text,cc,830M; 830M,N/A,4.7GB; 40GB; 64GB; 100GB,vision; function_calling,N/A,No
granite3-dense,"The IBM Granite 2B and 8B models are designed to support tool-based use cases and support for retrieval augmented generation (RAG), streamlining code generation, translation and bug fixing.",103.7K,33,7 months ago,tools,,https://ollama.com/library/granite3-dense,8b; 3B; 8B,4K,Vision; Code; Text,apache; Apache 2.0,over; over,N/A,1.6GB; 4.9GB,coding; scientific; translation; summarization,1; 2,No
dbrx,"DBRX is an open, general-purpose LLM created by Databricks.",100.8K,7,1 year ago,,,https://ollama.com/library/dbrx,132b; 36B,32K,Vision; Code; Text,N/A,,N/A,74GB,coding; translation; vision,0.1.32,No
snowflake-arctic-embed2,snowflake-arctic-embed2,99.9K,3,7 months ago,embedding,,https://ollama.com/library/snowflake-arctic-embed2,568m; 1B,8K,Embedding; Vision; Text,Apache 2.0,internal; internal,N/A,1.2GB,translation; vision; embedding; function_calling,N/A,Yes
exaone3.5,"EXAONE 3.5 is a collection of instruction-tuned bilingual (English and Korean) generative models ranging from 2.4B to 32B parameters, developed and released by LG AI Research.",98.3K,13,7 months ago,,,https://ollama.com/library/exaone3.5,32b; 2.4B; 7.8B; 32B,32K,Vision; Text,N/A,N/A,N/A,4.8GB; 1.6GB; 19GB,scientific; translation; vision,N/A,Yes
samantha-mistral,"A companion assistant trained in philosophy, psychology, and personal relationships. Based on Mistral.",96.2K,49,1 year ago,,,https://ollama.com/library/samantha-mistral,7b,32K,Vision; Chat; Text,cc,Mistral; Mistral,N/A,4.1GB,chat; vision,N/A,No
yi-coder,Yi-Coder is a series of open-source code language models that delivers state-of-the-art coding performance with fewer than 10 billion parameters.,93.1K,67,10 months ago,,,https://ollama.com/library/yi-coder,9b,128K,Vision; Code; Chat,N/A,N/A,N/A,5.0GB; 866MB,coding; translation; chat; vision,N/A,No
dolphincoder,"A 7B and 15B uncensored variant of the Dolphin model family that excels at coding, based on StarCoder2.",92.6K,35,1 year ago,,,https://ollama.com/library/dolphincoder,15b; 15B,16K,Vision; Code; Text,N/A,StarCoder2; StarCoder2,N/A,4.2GB; 9.1GB,coding; vision,N/A,No
starling-lm,Starling is a large language model trained by reinforcement learning from AI feedback focused on improving chatbot helpfulness.,90.8K,36,1 year ago,,,https://ollama.com/library/starling-lm,7b,8K,Vision; Chat; Text,commercial; cc,,N/A,4.1GB,translation; chat; vision,N/A,No
nous-hermes,General use models based on Llama and Llama 2 from Nous Research.,90.8K,63,1 year ago,,,https://ollama.com/library/nous-hermes,7b; 13b; 13B,4K,Vision; Chat; Text,cc,Llama; Llama,N/A,3.8GB; 7.4GB; 8GB; 16GB,scientific; chat; vision; function_calling,N/A,Yes
nemotron-mini,"A commercial-friendly small language model by NVIDIA optimized for roleplay, RAG QA, and function calling.",90.5K,17,10 months ago,tools,,https://ollama.com/library/nemotron-mini,4b,4K,Vision; Text,commercial,N/A,N/A,2.7GB,translation; vision; embedding; function_calling,N/A,Yes
xwinlm,Conversational model based on Llama 2 that performs competitively on various benchmarks.,87.6K,80,1 year ago,,,https://ollama.com/library/xwinlm,13b,4K,Vision; Chat; Text,N/A,Llama; Llama,N/A,3.8GB; 7.4GB,chat; vision,0.2,No
solar,"A compact, yet powerful 10.7B large language model designed for single-turn conversation.",87.6K,32,1 year ago,,,https://ollama.com/library/solar,10.7b; 7B; 30B,4K,Vision; Chat; Text,N/A,N/A,N/A,6.1GB,translation; chat; vision,1.0,No
phind-codellama,Code generation model based on Code Llama.,87.5K,49,1 year ago,,,https://ollama.com/library/phind-codellama,34b,16K,Vision; Code; Text,N/A,Code; Code,4:HumanEval; 4:HumanEval,19GB; 32GB,coding; vision; function_calling,1; 2; 2.,No
internlm2,InternLM2.5 is a 7B parameter model tailored for practical scenarios with outstanding reasoning capability.,86.6K,65,11 months ago,,,https://ollama.com/library/internlm2,20b; 7B,32K; 256K,Vision; Math; Reasoning,N/A,N/A,N/A,4.5GB; 1.1GB; 11GB,math; reasoning; chat; vision,N/A,No
deepscaler,A fine-tuned version of Deepseek-R1-Distilled-Qwen-1.5B that surpasses the performance of OpenAI’s o1-preview with just 1.5B parameters on popular math evaluations.,85.7K,5,5 months ago,,,https://ollama.com/library/deepscaler,1.5b; 1.5B; 7B,128K,Vision; Math; Reasoning,cc,DeepSeek-R1-Distilled-Qwen-1; DeepSeek-R1-Distilled-Qwen-1,MATH:500; MATH:500; MATH:500; MATH:500,3.6GB,math; reasoning; scientific; translation,N/A,No
athene-v2,"Athene-V2 is a 72B parameter model which excels at code completion, mathematics, and log extraction tasks.",84.6K,17,8 months ago,tools,,https://ollama.com/library/athene-v2,72b; 72B,32K,Vision; Code; Math,N/A,Qwen; Qwen,N/A,47GB,coding; math; chat; vision,2,No
nemotron,Llama-3.1-Nemotron-70B-Instruct is a large language model customized by NVIDIA to improve the helpfulness of LLM generated responses to user queries.,82.7K,17,9 months ago,tools,,https://ollama.com/library/nemotron,70b,128K,Vision; Text,N/A,N/A,N/A,43GB,translation; vision; function_calling,N/A,No
yarn-llama2,An extension of Llama 2 that supports a context of up to 128k tokens.,82.1K,67,1 year ago,,,https://ollama.com/library/yarn-llama2,13b,128K; 64K,Vision; Text,N/A,Llama2,N/A,3.8GB; 7.4GB,scientific; translation; vision; function_calling,N/A,Yes
dolphin-phi,"2.7B uncensored Dolphin model by Eric Hartford, based on the Phi language model by Microsoft Research.",79.2K,15,1 year ago,,,https://ollama.com/library/dolphin-phi,2.7b,2K,Vision; Text,N/A,,N/A,1.6GB,scientific; translation; vision,N/A,No
falcon,"A large language model built by the Technology Innovation Institute (TII) for use in summarization, text generation, and chat bots.",78.2K,38,1 year ago,,,https://ollama.com/library/falcon,180b,2K,Vision; Chat; Text,commercial; cc,chat; chat,N/A,4.2GB; 24GB; 101GB; 8GB; 32GB; 192GB,scientific; translation; summarization; chat,N/A,No
wizardlm,General use model based on Llama 2.,77.6K,73,1 year ago,,,https://ollama.com/library/wizardlm,70b; 70B,2K,Vision; Text,cc,Llama; Llama,N/A,2.8GB; 2.9GB; 3.3GB; 64GB,vision; function_calling,1.0,Yes
llama3-groq-tool-use,,76.4K,33,11 months ago,tools,,https://ollama.com/library/llama3-groq-tool-use,70b,8K,Vision; Text,cc,N/A,N/A,4.7GB; 40GB,translation; vision; function_calling,N/A,No
opencoder,"OpenCoder is an open and reproducible code LLM family which includes 1.5B and 8B models, supporting chat in English and Chinese languages.",72.7K,9,8 months ago,,,https://ollama.com/library/opencoder,8b; 8B,8K; 4K,Vision; Code; Chat,N/A,,N/A,4.7GB; 1.4GB,coding; reasoning; scientific; translation,N/A,No
paraphrase-multilingual,paraphrase-multilingual,70.6K,3,11 months ago,embedding,,https://ollama.com/library/paraphrase-multilingual,278m,N/A,Embedding; Vision; Text,N/A,N/A,N/A,563MB,translation; vision; embedding,N/A,No
wizardlm-uncensored,Uncensored version of Wizard LM model,69.8K,18,1 year ago,,,https://ollama.com/library/wizardlm-uncensored,13b; 13B,4K,Vision; Text,cc,Llama; Llama,N/A,7.4GB; 16GB,vision; function_calling,N/A,Yes
exaone-deep,"EXAONE Deep exhibits superior capabilities in various reasoning tasks including math and coding benchmarks, ranging from 2.4B to 32B parameters developed and released by LG AI Research.",68.3K,13,3 months ago,,,https://ollama.com/library/exaone-deep,32b; 32B,32K,Vision; Math; Reasoning,proprietary,N/A,N/A,4.8GB; 1.6GB; 19GB,coding; math; reasoning; scientific,N/A,No
orca2,"Orca 2 is built by Microsoft research, and are a fine-tuned version of Meta's Llama 2 models.  The model is designed to excel particularly in reasoning.",68K,33,1 year ago,,,https://ollama.com/library/orca2,13b,4K,Vision; Math; Reasoning,N/A,N/A,N/A,3.8GB; 7.4GB,math; reasoning; scientific; translation,N/A,No
aya-expanse,Cohere For AI's language models trained to perform well across 23 different languages.,67.3K,33,8 months ago,tools,,https://ollama.com/library/aya-expanse,32b; 32B,128K; 8K,Vision; Text,CC,,N/A,5.1GB; 20GB,scientific; translation; vision; function_calling,N/A,No
smallthinker,A new small reasoning model fine-tuned from the Qwen 2.5 3B Instruct model.,66.3K,5,6 months ago,,,https://ollama.com/library/smallthinker,3b; 3B,32K,Vision; Reasoning; Text,N/A,QWQ-32B-Preview; QWQ-32B-Preview,N/A,3.6GB,reasoning; scientific; vision,N/A,Yes
llama-guard3,Llama Guard 3 is a series of models fine-tuned for content safety classification of LLM inputs and responses.,65.4K,33,9 months ago,,,https://ollama.com/library/llama-guard3,8b,128K,Vision; Code; Reasoning,N/A,,N/A,4.9GB; 1.6GB,coding; reasoning; medical; finance,0,Yes
falcon3,"A family of efficient AI models under 10B parameters performant in science, math, and coding through innovative training techniques.",65.3K,17,7 months ago,,,https://ollama.com/library/falcon3,10b; 1B; 10B,32K; 8K,Vision; Code; Math,N/A,N/A,N/A,4.6GB; 1.8GB; 2.0GB; 6.3GB,coding; math; translation; vision,N/A,Yes
medllama2,Fine-tuned Llama 2 model to answer medical questions based on an open source medical dataset.,63.2K,17,1 year ago,,,https://ollama.com/library/medllama2,7b,4K,Vision; Text,N/A,,N/A,3.8GB; 8GB,medical; scientific; vision; function_calling,N/A,No
granite-embedding,"The IBM Granite Embedding 30M and 278M models models are text-only dense biencoder embedding models, with 30M available in English only and 278M serving multilingual use cases.",63.2K,6,7 months ago,embedding,,https://ollama.com/library/granite-embedding,278M; 278m; 3B; 8B,N/A,Embedding; Vision; Code,apache; Apache 2.0,N/A,N/A,63MB; 563MB,coding; scientific; translation; vision,N/A,No
nous-hermes2-mixtral,,62.1K,18,6 months ago,,,https://ollama.com/library/nous-hermes2-mixtral,7b,32K,Vision; Code; Reasoning,cc,beam; beam,N/A,26GB,coding; reasoning; scientific; translation,N/A,No
stable-beluga,Llama 2 based model fine tuned on an Orca-style dataset. Originally called Free Willy.,61.7K,49,1 year ago,,,https://ollama.com/library/stable-beluga,7b; 13b; 70b; 70B,4K,Vision; Text,cc,Llama; Llama,N/A,3.8GB; 7.4GB; 39GB; 8GB; 16GB; 64GB,vision; function_calling,N/A,Yes
granite3-moe,The IBM Granite 1B and 3B models are the first mixture of experts (MoE) Granite models from IBM designed for low latency usage.,59.5K,33,7 months ago,tools,,https://ollama.com/library/granite3-moe,3b; 3B; 8B,4K,Vision; Code; Text,apache; Apache 2.0; cc,over; over,N/A,822MB; 2.1GB,coding; scientific; translation; summarization,N/A,No
meditron,Open-source medical large language model adapted from Llama 2 to the medical domain.,58K,22,1 year ago,,,https://ollama.com/library/meditron,70b,2K; 4K,Vision; Reasoning; Text,N/A,N/A,N/A,3.8GB; 39GB,reasoning; medical; translation; vision,N/A,No
deepseek-v2.5,An upgraded version of DeekSeek-V2  that integrates the general and coding abilities of both DeepSeek-V2-Chat and DeepSeek-Coder-V2-Instruct.,56.5K,7,10 months ago,,,https://ollama.com/library/deepseek-v2.5,236b,4K,Vision; Code; Chat,N/A,N/A,N/A,133GB,coding; chat; vision,2; 2.5,Yes
reader-lm,"A series of models that convert HTML content to Markdown content, which is useful for content conversion tasks.",50.4K,33,10 months ago,,,https://ollama.com/library/reader-lm,1.5b,250K,Vision; Text,N/A,,N/A,935MB; 352MB,vision,N/A,No
r1-1776,"A version of the DeepSeek-R1 model that has been post trained to provide unbiased, accurate, and factual information by Perplexity.",50.2K,9,4 months ago,,,https://ollama.com/library/r1-1776,671b,128K; 4K,Vision; Math; Reasoning,mit; CC; cc,N/A,N/A,43GB; 404GB,math; reasoning; finance; scientific,N/A,Yes
granite3.1-moe,The IBM Granite 1B and 3B models are long-context mixture of experts (MoE) Granite models from IBM designed for low latency usage.,49.8K,33,5 months ago,tools,,https://ollama.com/library/granite3.1-moe,3b; 3B; 8B,128K,Vision; Code; Text,apache; Apache 2.0,over; over,N/A,2.0GB; 1.4GB,coding; scientific; translation; summarization,N/A,No
llama-pro,"An expansion of Llama 2 that specializes in integrating both general language understanding and domain-specific knowledge, particularly in programming and mathematics.",48.7K,33,1 year ago,,,https://ollama.com/library/llama-pro,N/A,4K,Vision; Code; Math,cc,N/A,N/A,4.7GB,coding; math; scientific; translation,N/A,No
yarn-mistral,An extension of Mistral to support context windows of 64K or 128K.,47.5K,33,1 year ago,,,https://ollama.com/library/yarn-mistral,7b,32K; 128K; 64K,Vision; Text,N/A,Mistral,N/A,4.1GB,scientific; translation; vision; function_calling,N/A,Yes
nexusraven,Nexus Raven is a 13B instruction tuned model for function calling tasks.,44.3K,32,1 year ago,,,https://ollama.com/library/nexusraven,13b; 13B,16K,Vision; Text,proprietary; Commercial; commercial,,N/A,7.4GB,coding; vision; function_calling,2,No
shieldgemma,ShieldGemma is set of instruction tuned models for evaluating the safety of text prompt input and text output responses against a set of defined safety policies.,44K,49,9 months ago,,,https://ollama.com/library/shieldgemma,27b; 27B,8K,Vision; Code; Chat,N/A,N/A,N/A,5.8GB; 1.7GB; 17GB,coding; translation; chat; vision,N/A,No
command-r7b,"The smallest model in Cohere's R series delivers top-tier speed, efficiency, and quality to build powerful AI applications on commodity GPUs and edge devices.",42.9K,5,6 months ago,tools,,https://ollama.com/library/command-r7b,7b,8K,Embedding; Vision; Code,cc,,N/A,5.1GB,coding; reasoning; scientific; translation,N/A,Yes
mathstral,MathΣtral: a 7B model designed for math reasoning and scientific discovery by Mistral AI.,42.8K,17,1 year ago,,,https://ollama.com/library/mathstral,7b; 7B,32K,Vision; Math; Reasoning,cc,N/A,68.37%:MATH; 68.37%:MATH; 68.37%:MATH; 68.37%:MATH,4.1GB,math; reasoning; scientific; vision,0.1,No
everythinglm,Uncensored Llama2 based model with support for a 16K context window.,42.6K,18,1 year ago,,,https://ollama.com/library/everythinglm,13b,16K,Vision; Text,N/A,N/A,N/A,7.4GB,translation; vision; function_calling,2,No
codeup,Great code generation model based on Llama2.,42.4K,19,1 year ago,,,https://ollama.com/library/codeup,13b,4K,Vision; Code; Chat,cc,Llama2; Llama2,N/A,7.4GB; 16GB,coding; translation; chat; vision,N/A,Yes
marco-o1,An open large reasoning model for real-world solutions by the Alibaba International Digital Commerce Group (AIDC-AI).,41K,5,7 months ago,,,https://ollama.com/library/marco-o1,7b,32K,Vision; Reasoning; Text,N/A,N/A,N/A,4.7GB,reasoning; legal; translation; vision,N/A,No
stablelm-zephyr,"A lightweight chat model allowing accurate, and responsive output without requiring high-end hardware.",40.6K,17,1 year ago,,,https://ollama.com/library/stablelm-zephyr,3b,4K,Vision; Chat; Text,cc,N/A,N/A,1.6GB,chat; vision,N/A,No
solar-pro,Solar Pro Preview: an advanced large language model (LLM) with 22 billion parameters designed to fit into a single GPU,38.4K,18,10 months ago,,,https://ollama.com/library/solar-pro,22b,4K,Vision; Text,mit,N/A,N/A,13GB; 80GB,translation; vision; function_calling,N/A,Yes
duckdb-nsql,7B parameter text-to-SQL model made by MotherDuck and Numbers Station.,36.4K,17,1 year ago,,,https://ollama.com/library/duckdb-nsql,7b; 7B,16K,Vision; Text,mit,,N/A,3.8GB; 80GB,translation; vision; function_calling,0.9.2; 0.1,No
falcon2,Falcon2 is an 11B parameters causal decoder-only model built by TII and trained over 5T tokens.,36.3K,17,1 year ago,,,https://ollama.com/library/falcon2,11b; 11B,2K,Vision; Code; Text,N/A,N/A,N/A,6.4GB,coding; vision,N/A,No
magicoder,"🎩 Magicoder is a family of 7B parameter models trained on 75K synthetic instruction data using OSS-Instruct, a novel approach to enlightening LLMs with open-source code snippets.",34.9K,18,1 year ago,,,https://ollama.com/library/magicoder,7b; 7B,16K,Vision; Code; Text,mit,,N/A,3.8GB,coding; vision,N/A,No
mistrallite,MistralLite is a fine-tuned model based on Mistral with enhanced capabilities of processing long contexts.,34.5K,17,1 year ago,,,https://ollama.com/library/mistrallite,7b,32K,Vision; Text,N/A,Mistral; Mistral,N/A,4.1GB,vision,N/A,No
codebooga,A high-performing code instruct model created by merging two existing code models.,33.7K,16,1 year ago,,,https://ollama.com/library/codebooga,34b,16K,Vision; Code; Text,N/A,N/A,N/A,19GB,coding; vision,2; 1.0; 0.1,No
phi4-mini-reasoning,Phi 4 mini reasoning is a lightweight open model that balances efficiency with advanced reasoning ability.,32.4K,5,2 months ago,,,https://ollama.com/library/phi4-mini-reasoning,3.8b; 3.8B,128K,Vision; Math; Reasoning,cc,N/A,N/A,3.2GB,math; reasoning; translation; vision,N/A,No
bespoke-minicheck,A state-of-the-art fact-checking model developed by Bespoke Labs.,32K,17,10 months ago,,,https://ollama.com/library/bespoke-minicheck,7b,32K,Vision; Text,cc,N/A,N/A,4.7GB,vision,N/A,No
tulu3,"Tülu 3 is a leading instruction following model family, offering fully open-source data, code, and recipes by the The Allen Institute for AI.",31.8K,9,6 months ago,,,https://ollama.com/library/tulu3,70b,128K,Vision; Code; Math,N/A,N/A,N/A,4.9GB; 43GB,coding; math; chat; vision,N/A,No
wizard-vicuna,Wizard Vicuna is a 13B parameter model based on Llama 2 trained by MelodysDreamj.,31.7K,17,1 year ago,,,https://ollama.com/library/wizard-vicuna,13b; 13B,2K,Vision; Text,cc,Llama; Llama,N/A,7.4GB; 16GB,vision; function_calling,N/A,No
nuextract,"A 3.8B model fine-tuned on a private high-quality synthetic dataset for information extraction, based on Phi-3.",30.8K,17,11 months ago,,,https://ollama.com/library/nuextract,3.8b; 3.8B; 13B; 34B,4K,Vision; Code; Math,Apache 2.0,Phi-3; Phi-3,N/A,2.2GB,coding; math; reasoning; translation,34,No
mistral-small3.2,"An update to Mistral Small that improves on function calling, instruction following, and less repetition errors.",29.8K,5,3 weeks ago,tools;vision,,https://ollama.com/library/mistral-small3.2,24b,128K,Vision; Text,N/A,N/A,N/A,15GB,vision; function_calling,N/A,No
granite3-guardian,The IBM Granite Guardian 3.0 2B and 8B models are designed to detect risks in prompts and/or responses.,26.9K,10,7 months ago,,,https://ollama.com/library/granite3-guardian,8b; 3B; 8B,8K,Vision; Code; Text,apache; Apache 2.0; cc,identity; identity,N/A,2.7GB; 5.8GB,coding; legal; scientific; translation,N/A,No
megadolphin,MegaDolphin-2.2-120b is a transformation of Dolphin-2.2-70b created by interleaving the model with itself.,26.8K,19,1 year ago,,,https://ollama.com/library/megadolphin,120b,4K,Vision; Text,N/A,N/A,N/A,68GB,vision,N/A,No
notux,"A top-performing mixture of experts model, fine-tuned with high-quality data.",26.2K,18,1 year ago,,,https://ollama.com/library/notux,7b,32K,Vision; Text,N/A,N/A,N/A,26GB,vision,1,No
open-orca-platypus2,Merge of the Open Orca OpenChat model and the Garage-bAInd Platypus 2 model. Designed for chat and code generation.,25.7K,17,1 year ago,,,https://ollama.com/library/open-orca-platypus2,13b; 13B,4K,Vision; Code; Chat,cc,N/A,N/A,7.4GB; 16GB,coding; chat; vision; function_calling,N/A,Yes
notus,A 7B chat model fine-tuned with high-quality data and based on Zephyr.,25.3K,18,1 year ago,,,https://ollama.com/library/notus,7b,32K,Vision; Chat; Text,N/A,Zephyr; Zephyr,N/A,4.1GB,chat; vision,1,No
goliath,A language model created by combining two fine-tuned Llama 2 70B models into one.,24.3K,16,1 year ago,,,https://ollama.com/library/goliath,70B,4K,Vision; Text,N/A,N/A,N/A,66GB,translation; vision,N/A,No
sailor2,"Sailor2 are multilingual language models made for South-East Asia. Available in 1B, 8B, and 20B parameter sizes.",23.4K,13,7 months ago,,,https://ollama.com/library/sailor2,20b; 1B; 20B,32K,Vision; Text,Apache 2.0; cc,500B; 500B,N/A,5.2GB; 1.1GB; 12GB,coding; scientific; translation; vision,N/A,No
firefunction-v2,"An open weights function calling model based on Llama 3, competitive with GPT-4o function calling capabilities.",23K,17,12 months ago,tools,,https://ollama.com/library/firefunction-v2,70b,8K,Vision; Chat; Text,N/A,Llama; Llama,N/A,40GB,chat; vision; function_calling,2,Yes
command-a,"111 billion parameter model optimized for demanding enterprises that require fast, secure, and high-quality AI",21.3K,5,4 months ago,tools,,https://ollama.com/library/command-a,111b,16K; 256K,Vision; Code; Chat,proprietary,,N/A,67GB,coding; scientific; translation; chat,N/A,Yes
alfred,A robust conversational model designed to be used for both chat and instruct use cases.,17.7K,7,1 year ago,,,https://ollama.com/library/alfred,40b; 40B,2K; 8K,Vision; Chat; Text,cc,,N/A,24GB,chat; vision; embedding,N/A,No
command-r7b-arabic,A new state-of-the-art version of the lightweight Command R7B model that excels in advanced Arabic language capabilities for enterprises in the Middle East and Northern Africa.,961,5,4 months ago,tools,,https://ollama.com/library/command-r7b-arabic,7b; 7B,16K; 128K,Vision; Text,cc,N/A,N/A,5.1GB,translation; vision; embedding; function_calling,N/A,Yes
